url	title	date	words	tags	genre	outlet	highlight
https://www.anderson.ucla.edu/faculty-and-research/anderson-review/cali-foreclosures	The Housing Meltdown Would Have Been Far Worse Without California's Anti-Foreclosure Laws	1/10/18	1130	Dataviz	Journalism	UCLA Anderson Review	Y
https://www.spotangels.com/blog/sf-parking-car-break-ins/	The Worst Parking Spots in SF for Car Break-Ins	12/14/17	572	Dataviz	Company Blog	SpotAngels	
https://www.anderson.ucla.edu/faculty-and-research/anderson-review/noncompete	Non-compete Agreements Reduce Worker Pay -- and Overall Economic Activity	11/22/17	0	Dataviz	Journalism	UCLA Anderson Review, <a href= "https://work.qz.com/1153267/noncompete-agreements-reduce-worker-pay-and-overall-economic-activity/">Quartz</a>	
http://blog.secondmeasure.com/2017/11/16/one-year-after-election-trump-bump-subscribers-still-with-the-new-york-times/	One Year After the Election, Trump Bump Subscribers Still With the New York Times	11/16/17	550	Dataviz	Company Blog	SecondMeasure	
http://www.splendorallaround.com/splendor-blog/2017/8/31/goodbye-dave	Goodbye, Dave	8/31/17	329	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2017/7/31/days-123-north	Days 1, 2, 3: North	8/2/17	962	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2017/7/26/day-13-day-0-home	Alignment Day 13 - Gas Cap Day 0: Home	7/26/17	522	Photos	Personal Essay	Splendor All Around	
https://pudding.cool/2017/06/best-sellers/	Bias, She Wrote: the Gender Balance of the New York Times Best Seller List	6/15/17	2159	Dataviz	Journalism	The Pudding	Y
http://www.splendorallaround.com/splendor-blog/2017/1/24/days-10-11-12-snakeride	Days 10, 11 & 12: Snakeride	1/24/17	4283	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2016/12/11/day-9-the-days-of-poetry	Day 9: The Days of Poetry	12/11/16	4301	Photos	Personal Essay	Splendor All Around	Y
http://www.splendorallaround.com/splendor-blog/2016/11/20/day-8-the-great-vehicle	Day 8: The Great Vehicle	11/20/16	2989	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2016/11/14/days-6-7-balance	Day 6 & 7: Balance	11/14/16	2419	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2016/11/4/day-5-contrast	Day 5: Contrast	11/4/16	1694	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2016/10/30/day-4-poco-y-poco	Day 4: Poco y Poco	10/30/16	1698	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2016/10/22/days-2-3-migration	Days 2 & 3: Migration	10/22/16	1049	Photos	Personal Essay	Splendor All Around	
http://www.splendorallaround.com/splendor-blog/2016/10/19/day-1-santa-cruise	Day 1: When the Rain Came	10/19/16	1352	Photos	Personal Essay	Splendor All Around	
https://priceonomics.com/how-san-franciscos-most-diverse-high-achieving/	How San Francisco's Most-Diverse, High-Achieving School Became Mostly White	8/29/16	3961	Dataviz	Journalism	Priceonomics	Y
http://kernelmag.dailydot.com/issue-sections/headline-story/16223/james-moore-eternal-war-a-decade-of-civilization/	How a Fluke Video Game Called the Eternal War Became a Cultural Phenomenon	3/27/16	2642	n/a	Journalism	The Kernel	Y
http://priceonomics.com/monarchs-more-belligerent-queens-kings/	Which Monarchs Were More Belligerent: Kings or Queens?	1/26/16	1422	n/a	Journalism	Priceonomics	
http://priceonomics.com/algorithm-the-unfairness-of-gerrymandering/	Can an Algorithm Eliminate the Unfairness of Gerrymandering?	1/22/16	2210	n/a	Journalism	Priceonomics	
http://priceonomics.com/how-a-90-year-old-missing-person-became-a-hit-on/	How a 90-Year-Old Missing Person Became a Hit on Spotify	1/11/16	4294	n/a	Journalism	Priceonomics	Y
http://priceonomics.com/when-the-kkk-was-a-pyramid-scheme/	When the KKK Was a Pyramid Scheme	12/22/15	3000	Dataviz	Journalism	Priceonomics	
